"city";"country";"nbArtists";"latitude";"longitude"
"newcastle upon tyne";"united kingdom";"2";"54.97328";"-1.61396"
"manchester";"united kingdom";"2";"53.48095";"-2.23743"
"inglewood";"united states";"2";"33.96168";"-118.35313"
"laguna hills";"united states";"2";"33.61252";"-117.71283"
"riverside";"united states";"2";"39.1775";"-94.61301"
"cordele";"united states";"2";"31.96351";"-83.78239"
"bonn";"germany";"2";"50.73438";"7.09549"
"indianola";"united states";"2";"47.74704";"-122.52569"
"mérida";"mexico";"2";"16.5675";"-93.81722"
"knoxville";"united states";"2";"35.96064";"-83.92074"
"belleville";"canada";"2";"44.16682";"-77.38277"
"gaspé";"canada";"1";"48.83341";"-64.48194"
"decatur";"united states";"1";"34.60593";"-86.98334"
"annapolis";"united states";"1";"38.97859";"-76.49184"
"dorfen";"germany";"1";"48.27037";"12.16056"
"altus";"united states";"1";"34.63813";"-99.33398"
"penticton";"canada";"1";"49.48062";"-119.58584"
"zoetermeer";"netherlands";"1";"52.0575";"4.49306"
"kissidougou";"guinea";"1";"9.1848";"-10.09987"
"kongsberg";"norway";"1";"59.66858";"9.65017"
"fort knox";"united states";"1";"37.89113";"-85.96363"
"san benito";"united states";"1";"26.13258";"-97.6311"
"birkenhead";"united kingdom";"1";"53.39337";"-3.01479"
"cambuslang";"united kingdom";"1";"55.80966";"-4.16096"
"goro";"italy";"1";"44.8515";"12.29651"
"busto arsizio";"italy";"1";"45.61128";"8.84914"
"redruth";"united kingdom";"1";"50.23315";"-5.22434"
"gorzów wielkopolski";"poland";"1";"52.73679";"15.22878"
"sedona";"united states";"1";"34.86974";"-111.76099"
"rossville";"united states";"1";"34.98313";"-85.28607"
"nérac";"france";"1";"44.13597";"0.33844"
"borgerhout";"belgium";"1";"51.20957";"4.43539"
"jersey city";"united states";"1";"40.72816";"-74.07764"
"witham";"united kingdom";"1";"51.80007";"0.64038"
"makassar";"indonesia";"1";"-5.14861";"119.43194"
"natchitoches";"united states";"1";"31.76072";"-93.08627"
"dawson";"united states";"1";"44.93274";"-96.05448"
"gardelegen";"germany";"1";"52.5252";"11.39523"
"owatonna";"united states";"1";"44.08385";"-93.22604"
"bridport";"united kingdom";"1";"50.7338";"-2.75831"
"plant city";"united states";"1";"28.01888";"-82.11469"
"winchester";"united states";"1";"39.62977";"-90.45624"
"claremore";"united states";"1";"36.3126";"-95.61609"
"old town";"united states";"1";"44.93423";"-68.64531"
"venice";"italy";"1";"45.43713";"12.33265"
"riom";"france";"1";"45.89362";"3.11264"
"chingford";"united kingdom";"1";"51.63033";"0.00051"
"bromborough";"united kingdom";"1";"53.3485";"-2.97935"
"newnan";"united states";"1";"33.38067";"-84.79966"
"thunder bay";"canada";"1";"48.38202";"-89.25018"
"billingham";"united kingdom";"1";"54.58881";"-1.29034"
"sandefjord";"norway";"1";"59.13118";"10.21665"
